line,sentence_boundary_exists_after_this_line
[Intro],0
Yeah,0
[Verse 1],0
I've been tryna call,1
I've been on my own for long enough,1
"Maybe you can show me how to love, maybe",1
I'm goin' through withdrawals,1
You don't even have to do too much,1
"You can turn me on with just a touch, baby",1
[Pre-Chorus],0
I look around and,0
Sin City's cold and empty (Oh),1
No one's around to judge me (Oh),1
I can't see clearly when you're gone,1
[Chorus],0
"I said, ooh, I'm blinded by the lights",1
"No, I can't sleep until I feel your touch (Touch)",1
"I said, ooh, I'm drowning in the night",1
"Oh, when I'm like this, you're the one I trust",1
"Hey, hey, hey",0
[Verse 2],0
I'm running out of time,1
Cause I can see the sun light up the sky,0
"So I hit the road in overdrive, baby, oh",1
[Pre-Chorus],0
The city's cold and empty (Oh),1
No one's around to judge me (Oh),1
I can't see clearly when you're gone,1
[Chorus],0
"And I said, ooh, I'm blinded by the lights",1
"No, I can't sleep until I feel your touch (Touch)",1
"I said, ooh, I'm drowning in the night",1
"Oh, when I'm like this, you're the one I trust",1
[Bridge],0
I'm just coming back to let you know (Back to let you know),1
I could never say it on the phone (Say it on the phone),1
Will never let you go this time (Ooh),0
[Chorus],0
"I said, ooh, I'm blinded by the lights",1
"No, I can't sleep until I feel your touch (Touch)",1
"Hey, hey, hey",0
[Post-Chorus],0
"Hey, hey, hey",0
[Outro],0
"I said, ooh, I'm blinded by the lights",1
"No, I can't sleep until I feel your touch",1
