line,sentence_boundary_exists_after_this_line
[Intro: Camille Rowe],0
Coucou,1
,
[Chorus],0
"Don't you call him ""baby""",1
We're not talking lately,1
Don't you call him what you used to call me,1
,
[Verse 1],0
"I, I confess I can tell that you are at your best",1
I'm selfish so I'm hating it,1
I noticed that there's a piece of you in how I dress,1
Take it as a compliment,1
,
[Chorus],0
"Don't you call him ""baby""",1
We're not talking lately,1
Don't you call him what you used to call me,1
,
[Verse 2],0
"I, I just miss",1
I just miss your accent and your friends,1
Did you know I still talk to them?,1
[Bridge],0
Does he take you walking 'round his parents' gallery?,1
,
[Chorus],0
"Don't you call him ""baby""",1
We're not talking lately,1
Don't you call him what you used to call me,1
"Don't you call him ""baby"" (Coucou)",1
We're not talking lately,1
Don't you call him what you used to call me (Coucou),1
,
[Outro: Camille Rowe],0
"Coucou ! Tu dors ? Oh, j'suis désolée...",1
"Bah non... Nan, c'est pas important...",1
"Ouais, on a été à la plage, et maintenant on—",1
Parfait ! Allez !,1
