line,sentence_boundary_exists_after_this_line
[Intro], 0
Flatline, flatline, flatline, flatline, 0
[Verse 1], 0
Lately, you've been busy, wondering if you miss me, 1
Why did you go against me? I just wanna know, 1
How come you act so different? Talk to me, I'll listen, 1
All the love I'm giving, don't act like you don't know, 1
[Pre-Chorus],0
I was out there on the road, life out of control,1
She became a victim to my busy schedule,1
And I know that it's not fair, that don't mean that I don't care, 1
This one's dedicated to the girl out there, 1
[Chorus], 0
Girl, you always catch me at the bad time (Bad time), 1
When I know you probably think it's a lie (A lie), 1
I know I told you last time was the last time (Last time),1
How could you pull the plug and leave me flatline? (Flatline),1
Flatline (Flatline), flatline (Flatline),0
How could you pull the plug and leave me flatline? (Oh-oh),1
'Cause when I hit you, you don't even reply (Reply),1
How could you pull the plug and leave me flatline?,1
[Verse 2],0
Hard breathing, what is it I'm not seeing?,1
She said she's leaving, damn, I can't believe it,1
It's like my heart's bleeding knowing that you don't need me,1
Shut my heart down, and I don't know what I'ma do now,1
[Pre-Chorus],0
I was out there on the road, life out of control,1
She became a victim to my busy schedule,1
And I know that it's not fair, that don't mean that I don't care,1
This one's dedicated to the girl out there,1
[Chorus],0
Girl, you always catch me at the bad time (Bad time),1
When I know you probably think it's a lie (A lie),1
I know I told you last time was the last time (Last time),1
How could you pull the plug and leave me flatline? (Flatline),1
Flatline (Flatline), flatline (Flatline),0
How could you pull the plug and leave me flatline? (Oh-oh),1
'Cause when I hit you, you don't even reply (Reply),1
How could you pull the plug and leave me flatline?,1
[Bridge],0
Girl, you always catch me at the bad time,1
Girl, you always catch me at the bad time,1
I know I told you last time was the last time,1
How could you pull the plug and leave me flatline? (Flatline),1
Flatline (Flatline),0
[Chorus],0
Girl, you always catch me at the bad time (Bad time),1
When I know you probably think it's a lie (A lie),1
I know I told you last time was the last time (Last time),1
How could you pull the plug and leave me flatline? (Flatline),1
Flatline (Flatline), flatline (Flatline),0
How could you pull the plug and leave me flatline? (Oh-oh),1
'Cause when I hit you, you don't even reply (Reply),1
How could you pull the plug and leave me flatline?,1
