line,sentence_boundary_exists_after_this_line
[Verse 1],0
"When I find myself in times of trouble, Mother Mary comes to me",0
"Speaking words of wisdom, ""Let it be""",1
"And in my hour of darkness, she is standing right in front of me",0
"Speaking words of wisdom, ""Let it be""",1
[Chorus],0
"Let it be, let it be, let it be, let it be",1
"Whisper words of wisdom, let it be",1
[Verse 2],0
And when the brokenhearted people living in the world agree,0
"There will be an answer, let it be",1
"For though they may be parted, there is still a chance that they will see",0
"There will be an answer, let it be",1
[Chorus],0
"Let it be, let it be, let it be, let it be",1
"Yeah, there will be an answer, let it be",1
"Let it be, let it be, let it be, let it be",1
"Whisper words of wisdom, let it be",1
[Instrumental Bridge],0
[Chorus],0
"Let it be, let it be, let it be, yeah, let it be",1
"Whisper words of wisdom, let it be",1
[Verse 3],0
"And when the night is cloudy, there is still a light that shines on me",1
"Shine on 'til tomorrow, let it be",1
"I wake up to the sound of music, Mother Mary comes to me",0
"Speaking words of wisdom, ""Let it be""",1
,0
[Chorus],0
"Let it be, let it be, let it be, yeah, let it be",1
"Oh, there will be an answer, let it be",1
"Let it be, let it be, let it be, yeah, let it be",1
"Oh, there will be an answer, let it be",1
"Let it be, let it be, let it be, yeah, let it be",1
"Whisper words of wisdom, let it be",1
