line,sentence_boundary_exists_after_this_line
[Intro],0
"One, two",0
[Verse 1],0
It's been a couple months,1
That's just about enough time,0
For me to stop crying when I look at all the pictures,0
"Now I kinda smile, I haven't felt that in a while",1
"It's late, I hear the doorbell ringin' and it's pourin'",1
"I open up that door, see your brown eyes at the entrance",1
"You just wanna talk, and I can't turn away a wet dog",1
[Pre-Chorus],0
"But, please, don't ruin this for me",1
"Please, don't make it harder than it already is",1
I'm trying to get over this,1
[Chorus],0
I wish that you would stay in my memories,1
"But you show up today, just to ruin things",0
I wanna put you in the past 'cause I'm traumatized,1
"But you're not lettin' me do that, 'cause tonight",0
"You're all drunk in my kitchen, curled in the fetal position",1
Too busy playing the victim to be listening to me when I say,0
I wish that you would stay in my memories,1
"In my memories, stay in my memories",0
[Verse 2],0
"Now I can't say ""Goodbye"" if you stay here the whole night",1
"You see, it's hard to find an end to somethin'",1
That you keep beginning over and over again,0
I promise that the ending always stays the same,1
[Pre-Chorus],0
"So, there's no good reason in make believin'",0
That we could ever exist again,0
"I can't be your friend, can't be your lover",1
Can't be the reason we hold back each other from falling in love,0
With somebody other than me,0
[Chorus],0
I wish that you would stay in my memories,1
"But you show up today, just to ruin things",0
I wanna put you in the past 'cause I'm traumatized,1
"But you're not lettin' me do that, 'cause tonight",0
"You're all drunk in my kitchen, curled in the fetal position",1
Too busy playing the victim to be listening to me when I say,0
I wish that you would stay in my memories,1
"In my memories, stay in my memories",0
[Bridge],0
Since you came,0
I guess I'll let you stay,1
For as long as it takes,0
To grab your books and your coat,0
And that one good cologne,0
That you bought when we were fighting,1
"Cause it's still on my clothes, everything that I own",0
And it makes me feel like dying,0
I was barely just surviving,1
[Chorus],0
I wish that you would stay in my memories,1
"But you show up today, just to ruin things",0
I wanna put you in the past 'cause I'm traumatized,1
"But you're not lettin' me do that, 'cause tonight",0
"You're all drunk in my kitchen, curled in the fetal position",1
Too busy playing the victim to be listening to me when I say,0
I wish that you would stay in my memories,1
"In my memories, stay in my memories",0
