line,sentence_boundary_exists_after_this_line
[Verse 1],0
"I'm going under, and this time, I fear there's no one to save me",1
This all or nothing really got a way of driving me crazy,0
"I need somebody to hear, somebody to know",1
"Somebody to have, somebody to hold",0
"It's easy to say, but it's never the same",1
I guess I kinda liked the way you numbed all the pain,1
[Chorus],0
"Now, the day bleeds into nightfall",1
And you're not here to get me through it all,0
I let my guard down and then you pulled the rug,1
I was getting kinda used to being someone you loved,1
[Verse 2],0
"I'm going under, and this time, I fear there's no one to turn to",1
This all or nothing way of loving got me sleeping without you,1
"Now, I need somebody to know, somebody to hear",1
"Somebody to have, just to know how it feels",1
"It's easy to say, but it's never the same",1
I guess I kinda like the way you help me escape,1
[Chorus],0
"Now, the day bleeds into nightfall",1
And you're not here to get me through it all,0
I let my guard down and then you pulled the rug,1
I was getting kinda used to being someone you loved,1
[Bridge],0
And I tend to close my eyes when it hurts sometimes,1
I fall into your arms,1
I'll be safe in your sound till I come back around,1
[Chorus],0
"For now, the day bleeds into nightfall",1
And you're not here to get me through it all,0
I let my guard down and then you pulled the rug,1
I was getting kinda used to being someone you loved,1
But now the day bleeds into nightfall,1
And you're not here to get me through it all,0
I let my guard down and then you pulled the rug,1
I was getting kinda used to being someone you loved,1
I let my guard down and then you pulled the rug,1
I was getting kinda used to being someone you loved,1
