line,sentence_boundary_exists_after_this_line
[Verse 1: Rihanna],0
All along it was a fever,1
"A cold sweat, hot-headed believer",0
"I threw my hands in the air, said, ""Show me something""",1
"He said, ""If you dare, come a little closer""",1
,0
[Pre-Chorus: Rihanna],0
Round and around and around and around we go,1
"Oh now, tell me now, tell me now, tell me now you know",1
,0
[Chorus: Rihanna],0
Not really sure how to feel about it,1
Something in the way you move,0
Makes me feel like I can't live without you,1
And it takes me all the way,1
I want you to stay,1
,0
[Verse 2: Mikky Ekko],0
It's not much of a life you're living,1
"It's not just something you take, it's given",1
[Pre-Chorus: Mikky Ekko],0
Round and around and around and around we go,1
"Oh, now tell me now, tell me now, tell me now you know",1
,0
[Chorus: Mikky Ekko],0
Not really sure how to feel about it,1
Something in the way you move,0
Makes me feel like I can't live without you,1
And it takes me all the way,1
And I want you to stay,1
,0
[Bridge: Rihanna & Mikky Ekko],0
"Ooh, the reason I hold on",0
"Ooh, 'cause I need this hole gone",1
Funny you're the broken one,0
But I'm the only one who needed saving,1
'Cause when you never see the light,0
It's hard to know which one of us is caving,1
,0
[Chorus: Rihanna & Mikky Ekko],0
Not really sure how to feel about it,1
Something in the way you move,0
Makes me feel like I can't live without you,1
And it takes me all the way,1
I want you to stay,1
[Outro: Rihanna & Mikky Ekko],0
Stay,0
I want you to stay,1
Ooh,0
