line,sentence_boundary_exists_after_this_line
[Verse 1],0
"Don't lie, I know you been thinking it",1
"And two times, you let it slip from your lips",0
You got too much pride to make any promises,1
"Thinking that we got time, and you wanna keep it in",0
[Pre-Chorus],0
I want you out in the pouring rain,1
I want you down on your knees,1
Praying to God that I feel the same,0
"I'm right here, baby, so please",1
[Chorus],0
"Hold me up, tie me down",1
Cause I never wanna leave your side,1
I swear to never let you down,1
And it's been eatin' me alive,0
You can take me home,1
You can never let me go,1
"Hold me up, hold me up",0
"And tie me, tie me down, down (Down)",0
"And tie me, tie me down, down",0
"And tie me, tie me down, down (Down)",0
"And tie me, tie me down, down",0
[Verse 2],0
Nine lives until you fall at my feet,0
"Don't hide, you're wasting your energy",1
"You're not shy, so baby, it's useless",1
"So don't try, 'cause you'll end up losing it",0
[Pre-Chorus],0
I want you out in the pouring rain,1
I want you down on your knees,1
Praying to God that I'll feel the same,1
"I'm right here, baby, so please",1
[Chorus],0
"Hold me up, tie me down",1
Cause I never wanna leave your side,0
I swear to never let you down,1
And it's been eatin' me alive,0
You can take me home,1
You can never let me go,1
"Hold me up, hold me up",1
"And tie me, tie me down, down (Down)",0
"And tie me, tie me down, down",0
"And tie me, tie me down, down (Down)",0
"And tie me, tie me down, down",0
[Bridge],0
So wrap your arms around my chest,0
And I'll put my hands around your neck,0
Cause nobody wins these waiting games,0
"You push and you pull, but you should stay",1
Stay,0
[Chorus],0
"Hold me up, tie me down",1
Cause I never wanna leave your side,0
I swear to never let you down,1
And it's been eatin' me alive,0
You can take me home,1
You can never let me go,1
"Hold me up, hold me up",1
"And tie me, tie me down, down (Down)",0
"And tie me, tie me down, down",0
"And tie me, tie me down, down (Down)",0
"And tie me, tie me down, down",0
[Outro],0
"Down, down",0
