line,sentence_boundary_exists_after_this_line
[Verse 1: Chris Martin],0
Look at the stars,1
Look how they shine for you,1
And everything you do,0
"Yeah, they were all yellow",1
I came along,1
I wrote a song for you,1
And all the things you do,0
"And it was called ""Yellow""",0
So then I took my turn,0
"Oh, what a thing to have done",0
And it was all yellow,0
"[Chorus: Chris Martin, Jonny Buckland & Will Champion]",0
"(Ah) Your skin, oh, yeah, your skin and bones",0
(Ooh) Turn into something beautiful,0
"(Ah) And you know, you know I love you so",1
You know I love you so,1
[Verse 2: Chris Martin],0
I swam across,1
I jumped across for you,1
"Oh, what a thing to do",1
Cause you were all yellow,0
I drew a line,1
I drew a line for you,1
"Oh, what a thing to do",1
And it was all yellow,0
"[Chorus: Chris Martin, Jonny Buckland & Will Champion]",0
"(Ah) And your skin, oh, yeah, your skin and bones",0
(Ooh) Turn into something beautiful,0
"(Ah) And you know, for you, I'd bleed myself dry",1
"For you, I'd bleed myself dry",1
[Bridge: Chris Martin],0
It's true,0
Look how they shine for you,1
Look how they shine for you,1
Look how they shine for,1
Look how they shine for you,1
Look how they shine for you,1
Look how they shine,1
[Outro: Chris Martin],0
Look at the stars,1
Look how they shine for you,1
And all the things that you do,0
